Název,Rok,Autor,Lokalita,Technika,Rozměr,Majitel,Provenience,Inv. číslo,Značeno (petrbrandl.eu),Doloženo,Poznámka (archivní tabulka),Obrázek,Zdroj petrbrandl.eu
Umučení sv. Bartoloměje,1731 až 1732,Petr Brandl,"Skałka u Wrocławi (Polsko), kostel sv. Máří Magdalény","Olej, plátno",171 × 117 cm,Arcidiecéze vratislavská,"Původní není známa, obraz do kostela sv. Máří Magdalény nejspíše dostal z kláštera cisterciáků v Křesoboru.",,Signováno na rubu plátna: P:Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTA4N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=218
Kytice ve váze I (Zátiší s květinami ve váze se dvěma mrtvými hýly),kolem 1720,Jan Vojtěch Angermayer a Petr Brandl,"Krásný Dvůr, zámek","Olej, plátno","71 × 45,6 cm","Národní památkový ústav, územní odborné pracoviště v Ústí nad Labem","Zátiší (spolu se Zátiším s květinami ve váze a mrtvým strakapoudem a pěnkavou) objednal František Josef hrabě Černín (1697–1733) do své sbírky na zámku v Petrohradě; 1827–1853 byla zátiší zapůjčena Janem Rudolfem Černínem (1757–1845) do Obrazárny Společnosti vlasteneckých přátel umění. Po roce 1853 byla zpět na zámku v Petrohradě, kde jsou registrována do roku 1915; od roku 1953 se zátiší nachází na zámku Krásný Dvůr.",KD 1334,Signováno vpravo dole na kamenném soklu: J. A. ANGERMEŸ […] a na spodním okraji vázy PRANDL,signováno,Umístění dle archivní tabulky: Zámek Krásný Dvůr | č.k. I-14 | Datování dle archivní tabulky: Kolem 1720,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTg1M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=219
Kytice ve váze II (Zátiší s květinami ve váze s mrtvým strakapoudem a pěnkavou),kolem 1720,Jan Vojtěch Angermayer a Petr Brandl,"Krásný dvůr, zámek","Olej, plátno","71,3 × 45,5 cm","Národní památkový ústav, územní odborné pracoviště v Ústí nad Labem","Zátiší (spolu se Zátiším s květinami ve váze s mrtvými hejly) a pěnkavou) objednal František Josef hrabě Černín (1697–1733) do své sbírky na zámku v Petrohradě; 1827–1853 byla zátiší zapůjčena Janem Rudolfem Černínem (1757–1845) do Obrazárny Společnosti vlasteneckých přátel umění. Po roce 1853 byla zpět na zámku v Petrohradě, kde jsou registrována do roku 1915; od roku 1953 se zátiší nachází na zámku Krásný Dvůr.",KD 1336,Signováno na spodním okraji vázy: PRANDL,,Umístění dle archivní tabulky: Zámek Krásný Dvůr | č.k. I-15 | Datování dle archivní tabulky: Kolem 1720,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTg3OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=220
Obětování v chrámě,asi 1708,Brandlův žák nebo následovník,"Praha - Staré Město, kostel sv. Jakuba","Olej, plátno",,Konvent minoritů v Praze,,,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMDE1MWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=221
Poslední večeře,po 1705,Petr Brandl a Michael Václav Halbax,"Praha, Národní galerie v Praze","Olej, plátno",374 × 257 cm,Národní galerie v Praze,Původně dílo vzniklo pro zámeckou kapli Nejsvětější svátosti v Rosicích u Chrudimi. Objednavatelem díla byl Štěpán Vilém kníže Kinský (1679–1749).,O 9977,"Na rubu býval nalepen nápis, který byl zřejmě opisem původního nápisu přímo na plátně: Erectum Ao 1728 Petrus Brandl f Halbwox pinxerunt Pragae",,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-121 | Datování dle archivní tabulky: Po 1705,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTM1NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=222
Sv. Jan Nepomucký adoruje Palladium země české,kolem 1730,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno","100,5 × 77 cm",Národní galerie v Praze,Původní není známa. V první polovině 20. století se nacházel ve sbírce Evženie Rybičkové v České Třebové. Národní galerie v Praze obraz zakoupila v roce 2013 ze soukromého majetku.,O 19126,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-140 | Datování dle archivní tabulky: Před/kolem 1730,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3Nzg3OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=223
Podobizna Františka Josefa hraběte Černína,kolem 1740,Kopie podle Petra Brandla,"Jindřichův Hradec, zámek","Olej, plátno",249 × 159 cm,"Národní památkový ústav, územní odborné pracoviště v Českých Budějovicích","Brandlův originál spolu s protějškem Podobiznou Isabelly Marie Černínové roz. z Westerloo, byl po roce 1918 ze země ze zámku ve Vinoři. Na zámku v Jindřichově Hradci zůstaly pouze kopie.",JH 608,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMDY5N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=224
"Podobizna manželky Františka Josefa hraběte Černína, Marie Isabelly, markýzy z Westerloo",kolem 1740,Kopie podle Petra Brandla,"Jindřichův Hradec, zámek","Olej, plátno",230 × 150 cm,"Národní památkový ústav, územní odborné pracoviště v Českých Budějovicích","Brandlův originál spolu s protějškem Podobiznou Františka Josefa hraběte Černína, byl chován na rodovém zámku ve Vinoři, po roce 1918 vyvezen ze země. Na zámku v Jindřichově Hradci zůstaly pouze kopie.",JH 609,Neznačeno,,Umístění dle archivní tabulky: Nezvěstné | č.k. I-13 | Datování dle archivní tabulky: Asi 1721,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMDc0OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=225
Nanebevzetí Panny Marie (Assumpta),,Kopie podle Petra Brandla,"Praha - Staré Město, kostel sv. Jakuba","Olej, plátno",234 × 135 cm,Konvent minoritů v Praze,"Jedná se o kopii díla, které do kostela minoritů objednala rodina Demartini.",,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMDU0M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=226
Alegorie sochařství,po 1710,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",90 × 80 cm,Národní galerie v Praze,Původní není známa. V roce 1948 byl obraz zakoupen do Národní galerie od R. Ryšavého.,O 2738,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-112 | Datování dle archivní tabulky: 1716,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NjQ0NGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=231
Jákob přijímá Josefovo zkrvavené roucho,kolem 1695,Petr Brandl - replika,"Praha – Staré Město, klášter křižovníků","Olej, plátno",76 × 95 cm,Rytířský řád Křižovníků s červenou hvězdou,Původní není známa.,,Neznačeno,,"Umístění dle archivní tabulky: Klášter křižovníků, Praha - Staré Město | č.k. I-86 | Datování dle archivní tabulky: Kolem 1695",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NjM5NGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=232
Nanebevzetí Panny Marie (Assumpta),,Petr Brandl – kopie podle,"Vyšší Brod, klášterní obrazárna","Olej, plátno",93 × 46 cm,Cisterciácké opatství Vyšší Brod,"Původní není známa. Jedná se o skicu modelletta ze soukromého majetku, která přecházela vzniku oltářního plátna s Nanebevzetím Panny Marie (dnes kostel sv. Vavřince, Vysoké Mýto).",,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDk2NjM2N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=236
Sv. Marek,kolem 1724,Petr Brandl,U.S.A.,"Olej, plátno",69 × 93 cm,Soukromá sbírka,"Původní není známa. Obraz měla v majetku rodina z Milána. Dílo pak bylo v roce 2010 vydraženo (Fineart, 30.3. 2010, položka č. 280) a dostalo se do soukromé sbírky v U.S.A.",,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDk2NjExN2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=237
Sv. Antonín Paduánský s Ježíškem,1730,Petr Brandl,"Praha, dlouhodobě zapůjčeno do Národní galerie v Praze z kostela v Žamberku","Olej, plátno",105 × 81 cm,Biskupství královéhradecké,"Obraz, který je dlouhodobě zapůjčen do Národní galerie v Praze, byl malován pro oltář kostela sv. Václava v Žamberku (zde jeho kopie). Objednavatelem byl zřejmě Jan Václav hrabě z Bubna a Litic.",,Signováno vlevo dole: Petrus Brandl. Pinxit A. 1730,"signováno, datováno","Umístění dle archivní tabulky: Národní galerie v Praze (zápůjčka z kostela sv. Václava, Žamberk) | č.k. I-179",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MjUyMTkzNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=238
Kající se Máří Magdaléna,po 1710,Kopie podle Petra Brandla,"Praha, soukromá sbírka","Olej, plátno",118 × 99 cm,Soukromá sbírka,2016 zakoupeno v obchodě s uměním ve Frankfurtu nad Mohanem.,,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5NjEzODI4MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=239
Křest Kristův,kolem 1720,Petr Brandl,"Żabów (Polsko), kostel sv. Jana Křtitele","Olej, plátno",257 × 169 cm,Parafia rzymskokatolicka p.w. św. Jana Chrzciciela w Żabowie,"Původní není známa. Jedna z hypotéz je, že dílo objednal František Josef hrabě Černín. Před 1945 v kostele sv. Jana Křtitele v Żabówe (Pomořansko - Polsko). Kopie obrazu se nachází v kostele sv. Anny v Javorné.",,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTUxMDc0MDIxMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=240
Vlastní podobizna,1730 až 1740,Kopie podle Petra Brandla,"Praha, Národní galerie v Praze","Olej, plátno",65 × 50 cm,Národní galerie v Praze,Původní není známa. Zakoupeno do Národní galerie v Praze v roce 2018 z aukční síně Maria Luise Hopp-Gantner v Starnberg v Německu.,O 19177,Neznačeno,,Umístění dle archivní tabulky: Nezvěstná (známa z kopie) | č.k. II-242 | Datování dle archivní tabulky: Kolem 1731,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTU5Nzc1Mjg4NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=242
Assumpta,1703,Petr Brandl,"Doksany, kostel Nanebevzetí Panny Marie","Olej, plátno",239 × 180 cm,Klášter sester premonstrátek,Obraz pro konventní kostel premonstrátek v Doksanech pravděpodobně objednal probošt Bruno Kunovský.,,neznačeno,,Umístění dle archivní tabulky: Kostel Doksany | č.k. I-9,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTc1ODc4OTY3MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=248
