Název,Rok,Autor,Lokalita,Technika,Rozměr,Majitel,Provenience,Inv. číslo,Značeno (petrbrandl.eu),Doloženo,Poznámka (archivní tabulka),Obrázek,Zdroj petrbrandl.eu
Sv. Tomáš Akvinský (opásáván cingulem cudnosti),1704,Petr Brandl,"Litoměřice, Galerie a muzeum litoměřické diecéze","Olej, plátno",237 × 149 cm,Diecéze litoměřická,Obraz původně pochází z bočního oltáře kostela sv. Michaela při klášteře dominikánů v Litoměřicích. Fr. Neugebeuer na dílo věnoval 300 zl. Po zrušení kláštera (1782) se obraz dostal v roce 1806 do budovy diecézního semináře a v témže roce pak do kaple biskupské rezidence v Litoměřicích.,Do-51,"Polokruhově uzavřeno, signováno vlevo dole na pochodni: Petrus Brandl Pinxit 1704","signováno, datováno, archivně doloženo",Umístění dle archivní tabulky: Galerie litoměřické diecéze | č.k. I-46,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTgxOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=47
Sv. Eustach klečící před bílým jelenem,1707,Petr Brandl,"Litoměřice, Galerie a muzeum litoměřické diecéze","Olej, plátno","64 × 45,5 cm",Diecéze litoměřická,Obraz původně pochází z kaple ve Mstišově a objednal jej František Karel hrabě Clary-Aldringen (1675–1751).,Do-161,Neznačeno,,Umístění dle archivní tabulky: Galerie litoměřické diecéze | č.k. I-47,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg0MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=48
"Nejsvětější Trojice s Pannou Marií, sv. Augustinem, sv. Tomášem z Villanovy a sv. Zuzanou",1707,Petr Brandl,"Lnáře, kostel Nejsvětější Trojice","Olej, plátno",410 × 236 cm,Biskupství českobudějovické,Obraz pro kostel Nejsvětější Trojice objednala v roce 1707 Zuzana Renata hraběnka Černínová (1670–1734).,,signováno vpravo od středu na listu otevřené knihy: PETRUS BRANDL,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel Nejsvětější Trojice, Lnáře | č.k. I-48",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg2NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=49
Stětí sv. Barbory,asi 1699,Petr Brandl,Dlouhodobě zapůjčeno do Muzea a galerie severního Plzeňska v Mariánské Týnici,"Olej, plátno",413 × 293 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,"Spolu s obrazem Smrt Izidora a Zavražděním sv. Václava pochází ze hřbitovního kostela sv. Barbory v Manětíně, kde zdobil hlavní oltář. Dílo objednal Václav Josef hrabě Lažanský z Bukové (1673–1715).",,"Vpravo dole na stupni byla falešná signatura provedená J. Teuchnerem, na rubu obrazu byl nápis Dieses Vom Maler P. Brandl gemalte Bild wurde im Jahre 1876 von mir Jos: Teuchner Maler in Manetin neu übermalt. Auf Anregung des der Zeit gewes: H.: Dechants P. Georg Bier.",,"Umístění dle archivní tabulky: Kostel sv. Barbory, Manětín, dlouhodobě zapůjčeno do Mariánské Týnice | č.k. I-49 | Datování dle archivní tabulky: Asi 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg5M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=50
Zavraždění sv. Václava,asi 1699,Petr Brandl,"Mariánská Týnice, Muzeum a galerie severního Plzeňska – dlouhodobá zápůjčka","Olej, plátno",260 × 340 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Spolu s obrazem Stětí sv. Barbory a Smrtí sv. Izidora pochází ze hřbitovního kostela sv. Barbory v Manětíně. Dílo objednal Václav Josef hrabě Lažanský z Bukové (1673–1715).,,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Barbory, Manětín, dlouhodobě zapůjčeno do Mariánské Týnice | č.k. I-50 | Datování dle archivní tabulky: Asi 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTkyM2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=51
Smrt sv. Izidora,asi 1699,Petr Brandl,"Mariánská Týnice, Muzeum a galerie severního Plzeňska – dlouhodobá zápůjčka","Olej, plátno",260 × 340 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Spolu s obrazem Stětí sv. Barbory a Zavražděním sv. Václava pochází ze hřbitovního kostela sv. Barbory v Manětíně. Dílo objednal Václav Josef hrabě Lažanský z Bukové (1673–1715).,,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Barbory, Manětín, dlouhodobě zapůjčeno do Mariánské Týnice | č.k. I-51 | Datování dle archivní tabulky: Asi 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTk0MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=52
Panna Marie s dítětem v oblacích,kolem 1699,Petr Brandl a dílna,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",220 × 150 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,"Původně byl obraz určen do hřbitovního kostela sv. Barbory v Manětíně, kam jej objednal komorník Václava Josefa hraběte Lažanského (1673–1715) Jakub Drtina.",,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-52 | Datování dle archivní tabulky: Kolem 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjAyMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=53
Křest Kristův,1715 až 1716,Petr Brandl,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",323 × 223 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Obraz na hlavní oltář kostela sv. Jana Křtitele v Manětíně objednala Marie Gabriela hraběnka Lažanská v roce 1715 za cenu 800 zlatých.,,Signováno vpravo dole: P. BRANDL,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-53 | Datování dle archivní tabulky: 1715-1716",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjAwMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=54
Výchova Panny Marie,1716,Petr Brandl,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",270 × 132 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Obraz do kostela sv. Jana Křtitele v Manětíně objednala Marie Gabriela hraběnka Lažanská v roce 1715 za cenu 400 zlatých.,,Signováno vpravo od středu: P. Brandl pinx,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-54",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjA0OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=55
Sv. Antonín Paduánský s Ježíškem,1716,Petr Brandl,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",270 × 132 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Obraz do kostela sv. Jana Křtitele v Manětíně objednala Marie Gabriela hraběnka Lažanská v roce 1715 za cenu 400 zlatých.,,Signováno vpravo dole: P. Brandl pinx.,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-56",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjA5OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=56
Sv. Bartoloměj,kolem 1727,Petr Brandl,"Česká republika, soukromá sbírka","Olej, plátno","72,5 × 54,5 cm",Soukromá sbírka,"Původní není známa. Spolu s obrazem sv. Ondřeje pochází ze sbírky Františka Josefa hraběte Černína (1697–1733). Později se dostal (díky sňatku) do majetku rodiny Lobkoviců – Antonín Isidor kníže Lobkovic jej v roce 1801 zapůjčil do Obrazárny Společnosti vlasteneckých přátel umění. V roce 1852 se dílo majiteli vrátilo na zámek v Mělníku. 1968 byl odcizen a odvezen do Rakouska, kde jej v roce 1970 identifikoval prof. J. Neumann a československý stát jej vykoupil. V roce 2015 dílo spolu s obrazem Sv. Ondřeje (obrazy visely v zámecké kapli na Mělníku) prodal Jiří Lobkowicz do soukromého majetku.",,Neznačeno,,Umístění dle archivní tabulky: Zámek Mělník | č.k. I-58 | Datování dle archivní tabulky: Kolem 1725,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgzMTM5N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=57
Sv. Ondřej,kolem 1725,Petr Brandl,"Česká republika, soukromá sbírka","Olej, plátno","72,5 × 54,5 cm",Soukromá sbírka,"Původní není známa. Spolu s obrazem sv. Bartoloměje pochází ze sbírky Františka Josefa hraběte Černína (1697–1733). Později se dostal (díky sňatku) do majetku rodiny Lobkoviců – Antonín Isidor kníže Lobkovic jej v roce 1801 zapůjčil do Obrazárny Společnosti vlasteneckých přátel umění. V roce 1852 se dílo majiteli vrátilo na zámek v Mělníku. 1968 byl odcizen a odvezen do Rakouska, kde jej v roce 1970 identifikoval prof. J. Neumann a československý stát jej vykoupil. V roce 2015 dílo spolu s obrazem Sv. Bartoloměje (obrazy visely v zámecké kapli na Mělníku) prodal Jiří Lobkowicz do soukromého majetku.",,Neznačeno,,Umístění dle archivní tabulky: Zámek Mělník | č.k. I-59 | Datování dle archivní tabulky: Kolem 1725,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgzMTQyNGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=58
Sv. Josef se spícím Ježíškem a anděly,1710 až 1711,Petr Brandl,"Mnichov, Alte Pinakothek","Olej, plátno",114 × 87 cm,Bayerische Staatsgemäldesammlungen München,"Původní není známa. Obraz se nacházel v kurfiřtských falcko-bavorských, a pak v Královských bavorských sbírek. Nejprve byl vystaven na zámku ve Zweibrücken a poté na zámku ve Schleissheimu.",1661,"Na rubu starého, dnes přelepeného plátna byla při průzkumu odhalena původní signatura a datum, které lze číst 1710 nebo 1711",signováno,"Umístění dle archivní tabulky: Mnichov, Bayer. Staatsgemäldesammlungen | č.k. I-60 | Datování dle archivní tabulky: 1710 / 1711",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjE1MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=59
Kající Máří Magdaléna,asi 1693,Petr Brandl,"Mníšek pod Brdy, kostel sv. Václava",Olej na štukovém podkladě,210 × 280 cm,Arcibiskupství pražské,Obraz byl původně uprostřed stropu hlavní místnosti kláštera při poutním kostele (kapli) sv. Máří Magdalény na Skalce u Mníšku. Dílo objednal baron Servác Ignác Engel z Engelsflussu. V roce 1954 byla malba přenesena do kostela sv. Václava v Mníšku pod Brdy.,,Signováno vpravo na skále: P. Brandl,"archivně doloženo, signováno","Umístění dle archivní tabulky: Kostel sv. Václava, Mníšek pod Brdy původně v klášteře na Skalce | č.k. I-61 | Datování dle archivní tabulky: 1693",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjI1M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=60
Sv. Jan Nepomucký jako almužník,1725,Petr Brandl,"Mödling (Rakousko), kostel sv. Otmara","Olej, plátno",480 × 260 cm,Pfarre St. otmar – Mödling,Obraz pro kostel sv. Otmara objednala Česká dvorská kancelář.,,Náznaky signatury patrny na schodišti.,archivně doloženo,Umístění dle archivní tabulky: Kostel Nová Paka | č.k. I-67 | Datování dle archivní tabulky: Konec 1725–počátek 1728,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjM1NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=61
Sv. František z Pauly,1725 až 1726,Petr Brandl,"Nová Paka, kostel Nanebevzetí Panny Marie","Olej, plátno",350 × 200 cm,Biskupství královéhradecké,Obraz na bočním oltáři vznikl pro kostel Nanebevzetí Panny Marie na objednávku řádu paulánů v Nové Pace.,,Neznačeno,archivně doloženo,Umístění dle archivní tabulky: Kostel Nová Paka | č.k. I-65 | Datování dle archivní tabulky: Konec 1725–počátek 1726,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjM5NGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=62
Archanděl Michael s plamenným mečem (nástavec oltáře Sv. Františka z Pauly),1725 až 1726,Petr Brandl,"Nová Paka, kostel Nanebevzetí Panny Marie","Olej, plátno",,Biskupství královéhradecké,Obraz v nástavci vznikl pro kostel Nanebevzetí Panny Marie na objednávku řádu paulánů v Nové Pace.,,Neznačeno.,archivně doloženo,Umístění dle archivní tabulky: Kostel Nová Paka | č.k. I-66 | Datování dle archivní tabulky: Konec 1725–počátek 1727,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjQzNGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=63
Apoteóza sv. Jana Nepomuckého,1725 až 1726,Petr Brandl,"Nová Paka, kostel Nanebevzetí Panny Marie","Olej, plátno",350 × 200 cm,Biskupství královéhradecké,Obraz na bočním oltáři vznikl pro kostel Nanebevzetí Panny Marie na objednávku řádu paulánů v Nové Pace.,,Neznačeno,,Umístění dle archivní tabulky: Kostel Nová Paka | č.k. I-11 | Datování dle archivní tabulky: 1725–1726,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjUzMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=64
Jazyk sv. Jana Nepomuckého (nástavec oltáře Sv. Jana Nepomuckého),1725 až 1726,Petr Brandl,"Nová Paka, kostel Nanebevzetí Panny Marie","Olej, plátno",,Biskupství královéhradecké,Obraz v nástavci oltáře s obrazem Sv. Jana Nepomuckého vznikl pro kostel Nanebevzetí Panny Marie na objednávku řádu paulánů v Nové Pace.,,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-154 | Datování dle archivní tabulky: Po 1720",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjU0OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=65
U felčara,1719,Petr Brandl,"Nová Říše, Kanonie premonstrátů v Nové Říši","Olej, plátno","107,5 × 143,5 cm",Kanonie premonstrátů v Nové Říši,Původní není známa. Obraz prvně uveden v inventáři klášterní sbírky v roce 1819 pod autorským určením Gerrit Honthorst.,,Neznačeno,,Umístění dle archivní tabulky: Klášter premonstrátů Nová Říše | č.k. I-69,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjYzNGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=66
U mastičkářky,1719,Petr Brandl,"Nová Říše, Kanonie premonstrátů v Nové Říši","Olej, plátno","107,5 × 140 cm",Kanonie premonstrátů v Nové Říši,Původní není známa. Obraz prvně uveden v inventáři klášterní sbírky v roce 1819 pod autorským určením Gerrit Honthorst.,,signováno vlevo od středu červeným tónem na hraně stolu P: BRANDL : F : 1719,,Umístění dle archivní tabulky: Klášter premonstrátů Nová Říše | č.k. I-70,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjY2N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=67
Kající se Máří Magdaléna,,Petr Brandl - okruh,neznámá,"Olej, plátno",89 × 75 cm,Soukromá sbírka,"Původní není známa; od 1994 do 2024 Joseph Michael Barton Dobenin; prodáno v aukci Arthouse Hejtmánek, Praha, 4.12. 2024, Lot. 14.",,Neznačeno,,Umístění dle archivní tabulky: Zámek Nové Město nad Metují | č.k. I-71 | Datování dle archivní tabulky: 1690–1695,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjY5NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=68
Panna Marie Bolestná,1733,Petr Brandl,"Nový Bydžov, Městské muzeum Nový Bydžov","Olej, plátno",235 × 120 cm,Městské muzeum Nový Bydžov,"Obraz byl spolu s Bolestnou Pannou Marií malován pro zámeckou kapli sv. Jana Nepomuckého v Barchově, která patřila Kryštofu Norbertu Voračickému hraběti z Paběnic (1696–1756). Do muzea v Novém Bydžově se dostaly v roce 1914.","2348, sign. C III 105",Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-122 | Datování dle archivní tabulky: Před 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjcyMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=69
Ukřižovaný Kristus,1733,Petr Brandl,"Nový Bydžov, Městské muzeum Nový Bydžov","Olej, plátno",235 × 120 cm,Městské muzeum Nový Bydžov,"Obraz byl spolu s Bolestnou Pannou Marií malován pro zámeckou kapli sv. Jana Nepomuckého v Barchově, která patřila Kryštofu Norbertu Voračickému hraběti z Paběnic (1696–1756). Do muzea v Novém Bydžově se dostaly v roce 1914.","č. 2347, sign. C III 104",Neznačeno,archivně doloženo,Umístění dle archivní tabulky: Muzeum Nový Bydžov | č.k. I-173,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTA4MWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=70
Korunování Panny Marie,kolem 1730,Petr Brandl – okruh,"Opava, Slezské zemské muzeum","Olej, plátno",90 × 73 cm,Slezské zemské muzeum,Původní není známa. Do opavského muzea byl obraz získán v roce 1945.,U 1304,Neznačeno,,Umístění dle archivní tabulky: Soukromá sbírka | č.k. I-160 | Datování dle archivní tabulky: Asi 1728,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTExM2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=71
Sv. Bernard,1708,Petr Brandl,"Plasy, kostel Nanebevzetí Panny Marie","Olej, plátno",250 × 170 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Obraz na bočním oltáři kostela Nanebevzetí Panny Marie při klášteře cisterciáků v Plasech vznikl zřejmě na objednávka opata Evžena Tyttla.,,Na obraze je vpravo dole znak plaského opata Eugena Tyttla s datem 1708,archivně doloženo,Umístění dle archivní tabulky: Kostel Plasy | č.k. I-75,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTY2OTI4ODkyOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=72
Panna Marie uděluje škapulíř sv. Šimonu Štokovi,1708,Petr Brandl,"Plzeň, Muzeum církevního umění plzeňské diecéze","Olej, plátno",350 × 188 cm,Plzeňská diecéze,Obraz byl původně určen na hlavní oltář kostela Panny Marie Karmelské v Chyši náležející řádu obutých karmelitánů. Po zrušení kláštera byl kostel v roce 1787 nově zasvěcen Panně Marii Sněžné a Brandlův obraz byl nahrazen jiným od malíře J. A. Pinka. Dílo podle namalovaného aliančního znaku namaloval Brandl na objednávku svobodného pána Jiřího Karla Václava Michny z Vacínova a jeho ženy Anny Ludmily.,,Signováno vlevo dole: Petrus Brandl pinx. A. 1708,"signováno, datováno","Umístění dle archivní tabulky: Muzeum církevního umění, Plzeň | č.k. I-76",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTIzNmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=73
Júdit před veleknězem,kolem 1705,Petr Brandl,"Pommersfelden (Německo), zámek Weißenstein (obrazárna)","Olej, plátno",264 × 175 cm,Graf von Schönborn,"Obraz se dostal do zámecké obrazárny hrabat Schönbornů v Pommersfelden zřejmě díky jejímu správci - malíři Janu Rudolfu Byssovi, který malbu eviduje v inventáři z roku 1719. Objednavatel není není znám.",56,Signováno dole ve středu na stupni: PETRUS BRANDL invenit,signováno,"Umístění dle archivní tabulky: Zámek Weissenstein, Pommersfelden | č.k. I-77 | Datování dle archivní tabulky: Kolem 1705",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTI1N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=74
Poprsí apoštola (?) s gestem,krátce po 1720,Petr Brandl,"Poznaň, Muzeum Narodowe w Poznaniu","Olej, plátno","77 × 62,5 cm","Muzeum Narodowe, Poznaň",Původní není známá. Do Muzea Narodoweho dílo zakoupeno v roce 1945 z obchodu Lamus.,MNP MO 965,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTI3OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=75
Sv. Josef s Ježíškem a anděly,asi 1708,Petr Brandl,"Praha – Staré Město, kostel sv. Jakuba","Olej, plátno",249 × 145 cm,Konvent minoritů v Praze,Obraz do kostela staroměstských minoritů donoval městský radní Václav Reismann.,,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Jakuba, Praha - St. Město | č.k. I-79 | Datování dle archivní tabulky: 1708 (asi)",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTM1MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=76
Zavraždění sv. Václava,1709,Petr Brandl,"Praha – Staré Město, kostel sv. Jakuba","Olej, plátno",259 × 138 cm,Konvent minoritů v Praze,Obraz do kostela minoritů donoval staroměstský měšťan Václav Hoffmann roku 1709.,,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Jakuba, Praha - St. Město | č.k. I-81",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTQ2MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=77
Všichni svatí s Nejsvětější Trojicí,1711,Petr Brandl,"Praha – Staré Město, kostel sv. Jakuba","Olej, plátno",284 × 162 cm,Konvent minoritů v Praze,"Obraz do kostela řádu minoritů donoval již v roce 1704 staroměstský radní Ferdinand Čermák, po jeho smrti byl dofinancován rodinou Lochmannových v roce 1711.",,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Jakuba, Praha - St. Město | č.k. I-83",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTUxMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=78
Sv. Linhart navštěvuje vězně se sv. Vavřincem v oblacích,1716 až 1717,Petr Brandl,"Praha – Staré Město, kostel sv. Klimenta","Olej, plátno",354 × 210 cm,Řeckokatolická farnost u sv. Klimenta v Praze,Obraz do kostela sv. Klimenta v roce 1716 objednala měšťanka Marie Moserová za cenu 1000 zlatých.,,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Klimenta, Praha-Staré Město | č.k. I-84 | Datování dle archivní tabulky: konec 1716-březen 1717",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTI5MTY0NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=79
Výchova Panny Marie,kolem 1715,Petr Brandl,"Praha – Staré Město, klášter křižovníků","Olej, plátno",114 × 148 cm,Rytířský řád Křižovníků s červenou hvězdou,Původní není známa,,Neznačeno,,Umístění dle archivní tabulky: Klášter křžovníků  Praha-St. Město | č.k. I-83 | Datování dle archivní tabulky: Kolem/před 1715,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NjU3N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=80
Nanebevzetí Panny Marie (Assumpta),před 1709,Petr Brandl,"Praha – Nové Město, kostel sv. Voršily","Olej, plátno",338 × 234 cm,Římská unie řádu svaté Voršily,Obraz objednala pro kostel sv. Voršily při klášteře voršilek jejich představená Maria Clara za cenu 400 zlatých.,,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Voršily, Praha | č.k. I-87 | Datování dle archivní tabulky: Asi do 1709",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTMwNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=81
Vidění sv. Terezie,1697,Petr Brandl,"Praha – Malá Strana, kostel sv. Josefa","Olej, plátno",272 × 179 cm,Arcibiskupství pražské,Obraz pro oltář kostela sv. Josefa na Malé Straně náležející řádu bosých karmelitánek donoval Václav Vojtěch hrabě Šternberk (1643–1708).,,Signováno vlevo dole na listu knihy: P:BRAN (poslední písmena zakryta),"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Josefa, Praha - Malá Strana | č.k. I-88",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODAwMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=82
Sv. Josef s Ježíškem a Pannou Marií (sv. Rodina),1702,Petr Brandl,"Praha – Malá Strana, kostel sv. Josefa","Olej, plátno",373 × 232 cm,Arcibiskupství pražské,"Obraz objednala v roce 1697 převorka karmelitánského kláštera Anna Eleonora od Svatého Leopolda pro kostel sv. Josefa na Malé Straně,",,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Kostel sv. Josefa, Praha - Malá Strana | č.k. I-89 | Datování dle archivní tabulky: 1701",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwODI2MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=83
Sv. Jáchym a Anna (Zvěstování Jáchymovi a Anně),1716,Petr Brandl,"Praha – Malá Strana, kostel Panny Marie Vítězné","Olej, plátno",383 × 226 cm,Klášter Panny Marie Vítězné – Pražského Jezulátka Řádu bosých bratří blahoslavené Panny Marie z hory Karmel,Obraz na boční oltář kostela Panny Marie Vítězné na Malé Straně objednal spolu s obrazem v nástavci za cenu 400 zlatých řád bosých karmelitánů.,,Signováno na listu otevřené knihy vpravo dole: P. BRANDL pinxit,"signováno, archivně doloženo",Umístění dle archivní tabulky: Kostel Panny Marie Vítězné | č.k. I-90,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzk1N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=84
Bůh Otec (nástavec oltáře sv. Jáchyma a Anny),1716,Petr Brandl,"Praha - Malá Strana, kostel Panny Marie Vítězné","Olej, plátno",,,Obraz v nástavci byl spolu s obrazem sv. Jáchyma a Anny objednán malostranskými karmelitány za cenu 400 zlatých.,,Neznačeno,archivně doloženo,Umístění dle archivní tabulky: Kostel Panny Marie Vítězné | č.k. I-91,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MDcxM2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=85
Smrt sv. Josefa,1720,Petr Brandl,"Praha - Malá Strana, kostel Panny Marie Vítězné","Olej, plátno",399 × 229 cm,Klášter Panny Marie Vítězné – Pražského Jezulátka Řádu bosých bratří blahoslavené Panny Marie z hory Karmel,Obraz do kostela Panny Marie Vítězné na Malé Straně objednal řád bosých karmelitánů.,,Signováno na stoličce: P. Brandl pinxit,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel P. Marie Vítězné, Praha | č.k. I-92",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgwNzg2N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=86
