id,nazev,autor,puvodni_url,soubor
35,Umučení sv. Bartoloměje,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTMxMWpwZzI=.jpg,0035_umuceni-sv-bartolomeje.jpg
36,Nanebevzetí Panny Marie,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTM1NWpwZzI=.jpg,0036_nanebevzeti-panny-marie.jpg
37,Smrt sv. Františka Xaverského,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTI1MmpwZzI=.jpg,0037_smrt-sv-frantiska-xaverskeho.jpg
38,Sv. Jan Nepomucký jako almužník,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTMzMWpwZzI=.jpg,0038_sv-jan-nepomucky-jako-almuznik.jpg
39,Nanebevzetí Panny Marie - modelletto,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDc4MTI1MWpwZzI=.jpg,0039_nanebevzeti-panny-marie-modelletto.jpg
40,Návrat ztraceného syna,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTM5N2pwZzI=.jpg,0040_navrat-ztraceneho-syna.jpg
41,Nejsvětější Trojice,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTY2OTI4OTIyOWpwZzI=.jpg,0041_nejsvetejsi-trojice.jpg
42,Patronové země české s Nejsvětější Trojicí,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTQ5MmpwZzI=.jpg,0042_patronove-zeme-ceske-s-nejsvetejsi-trojici.jpg
43,Vidění sv. Luitgardy,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTUxM2pwZzI=.jpg,0043_videni-sv-luitgardy.jpg
44,Sv. Juliána,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTUzOGpwZzI=.jpg,0044_sv-juliana.jpg
45,Podobizna Jana Samuela Františka Wussina,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTU2MmpwZzI=.jpg,0045_podobizna-jana-samuela-frantiska-wussina.jpg
