handy_id,Title,Author,ISBN
101,Haweswater,"Hall, Sarah",9780571209309
102,One Flew Over the Cuckoo's Nest,"Kesey, Ken",9780140043129
103,Animal Farm,"Orwell, George",9780141182704
104,"Twelfth Night, Or, What You Will","Shakespeare, William",9780486292908
105,Dubliners,"Joyce, James",9780486268705
106,Collected Stories of F. Scott Fitzgerald: Flappers and Philosophers and Tales of the Jazz Age,"Fitzgerald, F. Scott",9780760786307
107,The Swerve: How the Renaissance Began,"Greenblatt, Stephen",9780099572442
108,Dominion,"Holland, Tom",9780349141206
109,Orbital,"Harvey, Samantha",9781529922936
110,Intermezzo,"Rooney, Sally",9780571365470
111,The Thirty Years War,"Wedgwood, C.V.",9781590171462
112,The Fraud,"Smith, Zadie",9780241983096
113,"Women in the Picture: Women, Art and the Power of Looking","McCormack, Catherine",9781785786952
114,Confronting The Classics,"Beard, Mary",9781781250495
115,Martin Luther: Renegade and Prophet,"Roper, Lyndal",9781784703448
116,The Books that Shaped Art History: From Gombrich and Greenberg to Alpers and Krauss,"RICHARD, SHONE",9780500293027
117,Women Artists: The Linda Nochlin Reader,"Nochlin, Linda",9780500295557
118,Pursuit of Glory: Europe 1648 To 1815,"Blanning, Timothy C.W.",9780140166675
119,How to Be a Renaissance Woman: The Untold History of Beauty & Female Creativity,"Burke, Jill",9781788166676
120,The Awakening: A History of the Western Mind AD 500 - 1700,"Freeman, Charles",9781789545630
121,Art history: A critical introduction to its methods,"Hatt, Michael",9780719069598
122,Metody dějin umění,"Kroupa, Jiří",9788021053151
123,Jan Blažej Santini a svět jeho architektury,"Bachtík, Jakub",9788070374313
124,Středověké malířství v Čechách,"Royt, Jan",9788024602653
125,Ikonografie Karlova mostu,"Royt, Jan",9788090913004
126,James,"Everett, Percival",9781035031245
127,The Safekeep,"Wouden, Yael van der",9780241652305
128,Classical Art: From Greece to Rome (Oxford History of Art),"Beard, Mary",9780192842374
129,The Greek Vase: Art of the storyteller,"Oakley, John",9780714122953
130,Largo pétalo de mar,"Allende, Isabel",9781984899163
131,La Sombra Del Viento,"Zafón, Carlos Ruiz",9780974872407
132,El entenado,"Saer, Juan José",9789968636254
133,Nesmrtelnost,"Borges, Jorge Luis",9788086202358
134,En el tiempo de las mariposas,"Alvarez, Julia",9780452286863
135,La Casa de los Espíritus (Spanish Edition),"Allende, Isabel",9780060951306
136,La tesis de Nancy,"Sender, Ramón J.",9788421820735
137,Las batallas en el desierto (Spanish Edition),"Pacheco, José Emilio",9788483832356
138,Patria,"Aramburu, Fernando",9788490667316
139,Todo esto te daré,"Redondo, Dolores",9788408196440
140,Eva Luna,"Allende, Isabel",9788497592512
141,Inés del alma mía,"Allende, Isabel",9788466357609
142,Violeta,"Allende, Isabel",9788466362887
143,Corazon tan blanco,"Marías, Javier",9788483461402
144,Vivir para contarla,"Márquez, Gabriel García",9788497598736
145,La vida imaginaria,"Torres, Mara",9788408181163
146,A flor de piel,"Moro, Javier",9788432239007
147,Vivir del viento,"Vázquez-Figueroa, Alberto",9788497934114
148,Nada,"Laforet, Carmen",9788423342792
149,Dos mujeres en Praga,"Millás, Juan José",9788467004977
150,Bodas de sangre,"Lorca, Federico García",9788437605609
151,El baile de la Victoria,"Skármeta, Antonio",9788408053293
152,El manuscrito carmesí,"Gala, Antonio",9788408040330
153,La Pasion Turca,"Gala, Antonio",9788408046998
154,El hereje,"Delibes, Miguel",9788423333219
155,La vida invisible,"Prada, Juan Manuel de",9788467013924
156,Niebla,"Unamuno, Miguel de",9788437603476
157,"Como agua para chocolate: Novela de entregas mensuales, con recetas, amores y remedios caseros","Esquivel, Laura",9783150197387
158,Cien años de soledad,"Márquez, Gabriel García",9788437604947
159,El amor en los tiempos del cólera,"Márquez, Gabriel García",9788401242304
160,Cronica de una Muerte Anunciada,"Márquez, Gabriel García",9788401242243
161,Kronika ohlášené smrti,"Márquez, Gabriel García",8085906732
162,Sto roků samoty,"Márquez, Gabriel García",8085906716
163,Pantaleón a jeho ženská rota,"Llosa, Mario Vargas",8090147755
164,Narraciones,"Borges, Jorge Luis",8437602351
165,The Merchant of Venice,"Shakespeare, William",
166,Romeo and Juliet,"Shakespeare, William",
167,Shirley,"Brontë, Charlotte",
